Project Name,Index,Classifier Name,Training Instances (%),Cost Sensitive,Sampling,Selection,Precision,Recall,F1,Kappa,AUC,True Positive,False Positive,True Negative,False Negative
BOOKKEEPER,2,IBK,57.421875,cost sensitive,no,feature selection,0.5789473684210527,0.12222222222222222,0.2018348623853211,0.1472889128675479,0.6746566791510612,22.0,16.0,785.0,158.0
BOOKKEEPER,2,naive bayes,57.421875,no,SMOTE,feature selection,0.5238095238095238,0.36666666666666664,0.4313725490196078,0.33015469379105755,0.7014044943820225,22.0,20.0,247.0,38.0
BOOKKEEPER,2,random forest,57.421875,no,SMOTE,feature selection,0.5,0.25,0.3333333333333333,0.24041811846689878,0.6705290262172284,30.0,30.0,504.0,90.0
BOOKKEEPER,2,IBK,57.421875,no,SMOTE,feature selection,0.46987951807228917,0.21666666666666667,0.2965779467680609,0.20444234031640843,0.6510681093078097,39.0,44.0,757.0,141.0
BOOKKEEPER,3,naive bayes,68.20603907637656,no,no,no,0.0,0.0,0.0,-0.030022516887666176,0.780188679245283,0.0,6.0,312.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,no,no,no,0.0,0.0,0.0,-0.015837402665962536,0.7311025943396227,0.0,6.0,630.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,no,no,no,0.0,0.0,0.0,-0.010755579456843708,0.6602550663871418,0.0,6.0,948.0,120.0
BOOKKEEPER,3,naive bayes,68.20603907637656,no,no,feature selection,NaN,0.0,NaN,0.0,0.7075078616352202,0.0,0.0,318.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,no,no,feature selection,NaN,0.0,NaN,0.0,0.551876965408805,0.0,0.0,636.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,no,no,feature selection,NaN,0.0,NaN,0.0,0.5259259259259259,0.0,0.0,954.0,120.0
BOOKKEEPER,3,naive bayes,68.20603907637656,no,SMOTE,no,0.0,0.0,0.0,-0.03868471953578334,0.7779481132075472,0.0,8.0,310.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,no,SMOTE,no,0.0,0.0,0.0,-0.020736132711249338,0.7881485849056604,0.0,8.0,628.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,no,SMOTE,no,0.0,0.0,0.0,-0.01416430594900817,0.7037604821802935,0.0,8.0,946.0,120.0
BOOKKEEPER,3,naive bayes,68.20603907637656,cost sensitive,no,no,0.0,0.0,0.0,-0.030022516887666176,0.780188679245283,0.0,6.0,312.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,cost sensitive,no,no,0.0,0.0,0.0,-0.015837402665962536,0.7010514937106919,0.0,6.0,630.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,cost sensitive,no,no,0.0,0.0,0.0,-0.010755579456843708,0.6393169112508735,0.0,6.0,948.0,120.0
BOOKKEEPER,3,naive bayes,68.20603907637656,cost sensitive,no,feature selection,NaN,0.0,NaN,0.0,0.7075078616352202,0.0,0.0,318.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,cost sensitive,no,feature selection,NaN,0.0,NaN,0.0,0.551876965408805,0.0,0.0,636.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,cost sensitive,no,feature selection,NaN,0.0,NaN,0.0,0.5364168413696716,0.0,0.0,954.0,120.0
BOOKKEEPER,3,naive bayes,68.20603907637656,no,SMOTE,feature selection,NaN,0.0,NaN,0.0,0.7087657232704403,0.0,0.0,318.0,40.0
BOOKKEEPER,3,random forest,68.20603907637656,no,SMOTE,feature selection,NaN,0.0,NaN,0.0,0.55219143081761,0.0,0.0,636.0,80.0
BOOKKEEPER,3,IBK,68.20603907637656,no,SMOTE,feature selection,NaN,0.0,NaN,0.0,0.5260656883298392,0.0,0.0,954.0,120.0
BOOKKEEPER,4,naive bayes,74.91683300066533,no,no,no,0.4,0.06896551724137931,0.1176470588235294,0.09722222222222189,0.8819857312722948,2.0,3.0,345.0,27.0
BOOKKEEPER,4,random forest,74.91683300066533,no,no,no,0.3157894736842105,0.10344827586206896,0.15584415584415584,0.12253374870197341,0.8153487911216806,6.0,13.0,683.0,52.0
BOOKKEEPER,4,IBK,74.91683300066533,no,no,no,0.35294117647058826,0.13793103448275862,0.1983471074380165,0.16212624584717603,0.7544094332144272,12.0,22.0,1022.0,75.0
BOOKKEEPER,4,naive bayes,74.91683300066533,no,no,feature selection,1.0,0.13793103448275862,0.2424242424242424,0.22802850356294546,0.8763872374157748,4.0,0.0,348.0,25.0
BOOKKEEPER,4,random forest,74.91683300066533,no,no,feature selection,0.42105263157894735,0.13793103448275862,0.20779220779220778,0.1765316718587749,0.8069634363852557,8.0,11.0,685.0,50.0
BOOKKEEPER,4,IBK,74.91683300066533,no,no,feature selection,0.40625,0.14942528735632185,0.2184873949579832,0.18476062036412666,0.7282170696261064,13.0,19.0,1025.0,74.0
BOOKKEEPER,4,naive bayes,74.91683300066533,no,SMOTE,no,0.5714285714285714,0.13793103448275862,0.2222222222222222,0.19823788546255525,0.8896650812524772,4.0,3.0,345.0,25.0
BOOKKEEPER,4,random forest,74.91683300066533,no,SMOTE,no,0.4090909090909091,0.15517241379310345,0.22500000000000003,0.19076305220883458,0.810072334522394,9.0,13.0,683.0,49.0
BOOKKEEPER,4,IBK,74.91683300066533,no,SMOTE,no,0.39473684210526316,0.1724137931034483,0.24000000000000002,0.20271142672692094,0.7547892720306514,15.0,23.0,1021.0,72.0
BOOKKEEPER,4,naive bayes,74.91683300066533,cost sensitive,no,no,0.3333333333333333,0.034482758620689655,0.0625,0.04878048780487811,0.8819857312722948,1.0,2.0,346.0,28.0
BOOKKEEPER,4,random forest,74.91683300066533,cost sensitive,no,no,0.3333333333333333,0.017241379310344827,0.03278688524590164,0.02541296060991108,0.7979340071343638,1.0,2.0,694.0,57.0
BOOKKEEPER,4,IBK,74.91683300066533,cost sensitive,no,no,0.3888888888888889,0.08045977011494253,0.13333333333333333,0.10985703536493535,0.7316521337032633,7.0,11.0,1033.0,80.0
BOOKKEEPER,4,naive bayes,74.91683300066533,cost sensitive,no,feature selection,1.0,0.13793103448275862,0.2424242424242424,0.22802850356294546,0.8763872374157748,4.0,0.0,348.0,25.0
BOOKKEEPER,4,random forest,74.91683300066533,cost sensitive,no,feature selection,1.0,0.06896551724137931,0.12903225806451613,0.12030075187969992,0.8004855330955212,4.0,0.0,696.0,54.0
BOOKKEEPER,4,IBK,74.91683300066533,cost sensitive,no,feature selection,0.5294117647058824,0.10344827586206896,0.17307692307692307,0.15174506828528048,0.7649953758752808,9.0,8.0,1036.0,78.0
BOOKKEEPER,4,naive bayes,74.91683300066533,no,SMOTE,feature selection,1.0,0.13793103448275862,0.2424242424242424,0.22802850356294546,0.8812425683709869,4.0,0.0,348.0,25.0
BOOKKEEPER,4,random forest,74.91683300066533,no,SMOTE,feature selection,0.45454545454545453,0.1724137931034483,0.25000000000000006,0.2168674698795178,0.8230652992469283,10.0,12.0,684.0,48.0
BOOKKEEPER,4,IBK,74.91683300066533,no,SMOTE,feature selection,0.42857142857142855,0.1724137931034483,0.24590163934426235,0.21108179419525055,0.7898665609723874,15.0,20.0,1024.0,72.0
BOOKKEEPER,5,naive bayes,78.52664576802508,no,no,no,0.3333333333333333,0.02127659574468085,0.04,0.02664298401420977,0.851823708206687,1.0,2.0,362.0,46.0
BOOKKEEPER,5,random forest,78.52664576802508,no,no,no,0.3333333333333333,0.010638297872340425,0.020618556701030927,0.013641530882909812,0.7950958615852233,1.0,2.0,726.0,93.0
BOOKKEEPER,5,IBK,78.52664576802508,no,no,no,0.3333333333333333,0.0070921985815602835,0.013888888888888888,0.009167770194560831,0.7309932974826592,1.0,2.0,1090.0,140.0
BOOKKEEPER,5,naive bayes,78.52664576802508,no,no,feature selection,1.0,0.02127659574468085,0.04166666666666667,0.03707853723133405,0.855447743745616,1.0,0.0,364.0,46.0
BOOKKEEPER,5,random forest,78.52664576802508,no,no,feature selection,1.0,0.010638297872340425,0.021052631578947368,0.0186901491617672,0.7323693593640402,1.0,0.0,728.0,93.0
BOOKKEEPER,5,IBK,78.52664576802508,no,no,feature selection,1.0,0.0070921985815602835,0.014084507042253521,0.012493993272464742,0.6653320084171148,1.0,0.0,1092.0,140.0
BOOKKEEPER,5,naive bayes,78.52664576802508,no,SMOTE,no,0.6,0.06382978723404255,0.11538461538461536,0.09549325423404507,0.8415653495440729,3.0,2.0,362.0,44.0
BOOKKEEPER,5,random forest,78.52664576802508,no,SMOTE,no,0.6,0.031914893617021274,0.0606060606060606,0.049628285138864074,0.8052227028290858,3.0,2.0,726.0,91.0
BOOKKEEPER,5,IBK,78.52664576802508,no,SMOTE,no,0.6,0.02127659574468085,0.0410958904109589,0.03352593388873914,0.7405534772556049,3.0,2.0,1090.0,138.0
BOOKKEEPER,5,naive bayes,78.52664576802508,cost sensitive,no,no,0.5,0.02127659574468085,0.04081632653061224,0.03177785574657953,0.851823708206687,1.0,1.0,363.0,46.0
BOOKKEEPER,5,random forest,78.52664576802508,cost sensitive,no,no,0.5,0.010638297872340425,0.020833333333333336,0.016145461953754374,0.7701148585457096,1.0,1.0,727.0,93.0
BOOKKEEPER,5,IBK,78.52664576802508,cost sensitive,no,no,0.5,0.0070921985815602835,0.013986013986013986,0.01082188273448881,0.7065570363442704,1.0,1.0,1091.0,140.0
BOOKKEEPER,5,naive bayes,78.52664576802508,cost sensitive,no,feature selection,1.0,0.02127659574468085,0.04166666666666667,0.03707853723133405,0.855447743745616,1.0,0.0,364.0,46.0
BOOKKEEPER,5,random forest,78.52664576802508,cost sensitive,no,feature selection,1.0,0.010638297872340425,0.021052631578947368,0.0186901491617672,0.7504310848725743,1.0,0.0,728.0,93.0
BOOKKEEPER,5,IBK,78.52664576802508,cost sensitive,no,feature selection,1.0,0.0070921985815602835,0.014084507042253521,0.012493993272464742,0.7018711194243109,1.0,0.0,1092.0,140.0
BOOKKEEPER,5,naive bayes,78.52664576802508,no,SMOTE,feature selection,1.0,0.02127659574468085,0.04166666666666667,0.03707853723133405,0.8256079027355623,1.0,0.0,364.0,46.0
BOOKKEEPER,5,random forest,78.52664576802508,no,SMOTE,feature selection,1.0,0.010638297872340425,0.021052631578947368,0.0186901491617672,0.7638385550619593,1.0,0.0,728.0,93.0
BOOKKEEPER,5,IBK,78.52664576802508,no,SMOTE,feature selection,1.0,0.0070921985815602835,0.014084507042253521,0.012493993272464742,0.7332047385238875,1.0,0.0,1092.0,140.0
BOOKKEEPER,6,naive bayes,81.7948717948718,no,no,no,0.5,0.03571428571428571,0.06666666666666667,0.058414903694349055,0.8375807609475951,1.0,1.0,397.0,27.0
BOOKKEEPER,6,random forest,81.7948717948718,no,no,no,0.4,0.03571428571428571,0.06557377049180328,0.055395627479965334,0.7509646446518305,2.0,3.0,793.0,54.0
BOOKKEEPER,6,IBK,81.7948717948718,no,no,no,0.45454545454545453,0.05952380952380952,0.10526315789473684,0.09143373312591033,0.7065386456089974,5.0,6.0,1188.0,79.0
BOOKKEEPER,6,naive bayes,81.7948717948718,no,no,feature selection,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.11780947998159134,0.8392408470926059,2.0,1.0,397.0,26.0
BOOKKEEPER,6,random forest,81.7948717948718,no,no,feature selection,0.6666666666666666,0.03571428571428571,0.06779661016949153,0.061523672194183615,0.7516264357501795,2.0,1.0,795.0,54.0
BOOKKEEPER,6,IBK,81.7948717948718,no,no,feature selection,0.42857142857142855,0.03571428571428571,0.06593406593406594,0.056392348986293396,0.7262951663077292,3.0,4.0,1190.0,81.0
BOOKKEEPER,6,naive bayes,81.7948717948718,no,SMOTE,no,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.11780947998159134,0.8127692031586504,2.0,1.0,397.0,26.0
BOOKKEEPER,6,random forest,81.7948717948718,no,SMOTE,no,0.75,0.05357142857142857,0.09999999999999999,0.09204294284812121,0.7693489770279971,3.0,1.0,795.0,53.0
BOOKKEEPER,6,IBK,81.7948717948718,no,SMOTE,no,0.6,0.07142857142857142,0.1276595744680851,0.11528720494377469,0.7238224854430885,6.0,4.0,1190.0,78.0
BOOKKEEPER,6,naive bayes,81.7948717948718,cost sensitive,no,no,0.5,0.03571428571428571,0.06666666666666667,0.058414903694349055,0.8375807609475951,1.0,1.0,397.0,27.0
BOOKKEEPER,6,random forest,81.7948717948718,cost sensitive,no,no,0.5,0.017857142857142856,0.03448275862068965,0.03008619287689113,0.7369436468054559,1.0,1.0,795.0,55.0
BOOKKEEPER,6,IBK,81.7948717948718,cost sensitive,no,no,0.5,0.047619047619047616,0.08695652173913042,0.07639892628536075,0.6966878040998644,4.0,4.0,1190.0,80.0
BOOKKEEPER,6,naive bayes,81.7948717948718,cost sensitive,no,feature selection,0.5,0.03571428571428571,0.06666666666666667,0.058414903694349055,0.8392408470926059,1.0,1.0,397.0,27.0
BOOKKEEPER,6,random forest,81.7948717948718,cost sensitive,no,feature selection,0.5,0.017857142857142856,0.03448275862068965,0.03008619287689113,0.6985485463029433,1.0,1.0,795.0,55.0
BOOKKEEPER,6,IBK,81.7948717948718,cost sensitive,no,feature selection,0.3333333333333333,0.023809523809523808,0.044444444444444446,0.03599621092516655,0.6663625668022652,2.0,4.0,1190.0,82.0
BOOKKEEPER,6,naive bayes,81.7948717948718,no,SMOTE,feature selection,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.11780947998159134,0.842067480258435,2.0,1.0,397.0,26.0
BOOKKEEPER,6,random forest,81.7948717948718,no,SMOTE,feature selection,0.6666666666666666,0.03571428571428571,0.06779661016949153,0.061523672194183615,0.7546549712849964,2.0,1.0,795.0,54.0
BOOKKEEPER,6,IBK,81.7948717948718,no,SMOTE,feature selection,0.5555555555555556,0.05952380952380952,0.1075268817204301,0.09602699800582787,0.71627482651352,5.0,4.0,1190.0,79.0
